grammar,A,a,Aa,aa,a.A,aa.A,solution
1,(A),(a),(Aa),(aa),(a.A),(aa).A,OT+HG
2,(Aa),(aa),(Aa),(aa),(a.A),(aa).A,OT+HG
3,(A),(A),(Aa),(Aa),(a.A),(aa).A,OT+HG
4,(Aa),(Aa),(Aa),(Aa),(a.A),(aa).A,OT+HG
5,(A),(a),(Aa),(aa),(a).A,(aa).A,OT+HG
6,(Aa),(aa),(Aa),(aa),(a).A,(aa).A,OT+HG
7,(A),(A),(Aa),(Aa),(a).A,(aa).A,OT+HG
8,(Aa),(Aa),(Aa),(Aa),(a).A,(aa).A,OT+HG
9,(A),(a),(Aa),(aa),a.(A),(aa).A,OT+HG
10,(Aa),(aa),(Aa),(aa),a.(A),(aa).A,OT+HG
11,(A),(A),(Aa),(Aa),a.(A),(aa).A,OT+HG
12,(Aa),(Aa),(Aa),(Aa),a.(A),(aa).A,OT+HG
13,(Aa),(aa),(Aa),(aa),(aa).A,(aa).A,OT+HG
14,(Aa),(Aa),(Aa),(Aa),(aa).A,(aa).A,OT+HG
15,(A),(a),(Aa),(aa),(A.a),(aa).A,OT+HG
16,(Aa),(aa),(Aa),(aa),(A.a),(aa).A,OT+HG
17,(A),(A),(Aa),(Aa),(A.a),(aa).A,OT+HG
18,(Aa),(Aa),(Aa),(Aa),(A.a),(aa).A,OT+HG
19,(A),(a),(Aa),(aa),a.(A),aa.(A),OT+HG
20,(Aa),(aa),(Aa),(aa),a.(A),aa.(A),OT+HG
21,(A),(A),(Aa),(Aa),a.(A),aa.(A),OT+HG
22,(Aa),(Aa),(Aa),(Aa),a.(A),aa.(A),OT+HG
23,(A),(a),(Aa),(aa),a.(A),(Aa).a,OT+HG
24,(Aa),(aa),(Aa),(aa),a.(A),(Aa).a,OT+HG
25,(A),(A),(Aa),(Aa),a.(A),(Aa).a,OT+HG
26,(Aa),(Aa),(Aa),(Aa),a.(A),(Aa).a,OT+HG
27,(Aa),(aa),(Aa),(aa),(aa).A,(Aa).a,OT+HG
28,(Aa),(Aa),(Aa),(Aa),(aa).A,(Aa).a,OT+HG
29,(A),(a),(Aa),(aa),(A.a),(Aa).a,OT+HG
30,(Aa),(aa),(Aa),(aa),(A.a),(Aa).a,OT+HG
31,(A),(A),(Aa),(Aa),(A.a),(Aa).a,OT+HG
32,(Aa),(Aa),(Aa),(Aa),(A.a),(Aa).a,OT+HG
