grammar,A,a,Aa,aa,a.A,aa.A,solution
1,(A),(a),(Aa),(aa),(a.A),(aa).A,OT+HG
2,(A),(A),(Aa),(aa),(a.A),(aa).A,OT+HG
3,(A),(aa),(Aa),(aa),(a.A),(aa).A,OT+HG
4,(Aa),(aa),(Aa),(aa),(a.A),(aa).A,OT+HG
5,(A),(A),(Aa),(Aa),(a.A),(aa).A,OT+HG
6,(Aa),(Aa),(Aa),(Aa),(a.A),(aa).A,OT+HG
7,(A),(a),(Aa),(aa),(a).A,(aa).A,OT+HG
8,(A),(A),(Aa),(aa),(a).A,(aa).A,OT+HG
9,(Aa),(aa),(Aa),(aa),(a).A,(aa).A,OT+HG
10,(A),(A),(Aa),(Aa),(a).A,(aa).A,OT+HG
11,(Aa),(Aa),(Aa),(Aa),(a).A,(aa).A,OT+HG
12,(A),(a),(Aa),(aa),a.(A),(aa).A,OT+HG
13,(A),(A),(Aa),(aa),a.(A),(aa).A,OT+HG
14,(A),(aa),(Aa),(aa),a.(A),(aa).A,OT+HG
15,(Aa),(aa),(Aa),(aa),a.(A),(aa).A,OT+HG
16,(A),(A),(Aa),(Aa),a.(A),(aa).A,OT+HG
17,(Aa),(Aa),(Aa),(Aa),a.(A),(aa).A,OT+HG
18,(Aa),(aa),(Aa),(aa),(aa).A,(aa).A,OT+HG
19,(Aa),(Aa),(Aa),(Aa),(aa).A,(aa).A,OT+HG
20,(A),(a),(Aa),(aa),(A.a),(aa).A,OT+HG
21,(A),(A),(Aa),(aa),(A.a),(aa).A,OT+HG
22,(A),(aa),(Aa),(aa),(A.a),(aa).A,OT+HG
23,(Aa),(aa),(Aa),(aa),(A.a),(aa).A,OT+HG
24,(A),(A),(Aa),(Aa),(A.a),(aa).A,OT+HG
25,(Aa),(Aa),(Aa),(Aa),(A.a),(aa).A,OT+HG
26,(A),(a),(Aa),(aa),a.(A),aa.(A),OT+HG
27,(A),(A),(Aa),(aa),a.(A),aa.(A),OT+HG
28,(A),(aa),(Aa),(aa),a.(A),aa.(A),OT+HG
29,(Aa),(aa),(Aa),(aa),a.(A),aa.(A),OT+HG
30,(A),(A),(Aa),(Aa),a.(A),aa.(A),OT+HG
31,(Aa),(Aa),(Aa),(Aa),a.(A),aa.(A),OT+HG
32,(A),(a),(Aa),(aa),a.(A),(Aa).a,OT+HG
33,(A),(A),(Aa),(aa),a.(A),(Aa).a,OT+HG
34,(A),(aa),(Aa),(aa),a.(A),(Aa).a,OT+HG
35,(Aa),(aa),(Aa),(aa),a.(A),(Aa).a,OT+HG
36,(A),(A),(Aa),(Aa),a.(A),(Aa).a,OT+HG
37,(Aa),(Aa),(Aa),(Aa),a.(A),(Aa).a,OT+HG
38,(Aa),(aa),(Aa),(aa),(aa).A,(Aa).a,OT+HG
39,(Aa),(Aa),(Aa),(Aa),(aa).A,(Aa).a,OT+HG
40,(A),(a),(Aa),(aa),(A.a),(Aa).a,OT+HG
41,(A),(A),(Aa),(aa),(A.a),(Aa).a,OT+HG
42,(A),(aa),(Aa),(aa),(A.a),(Aa).a,OT+HG
43,(Aa),(aa),(Aa),(aa),(A.a),(Aa).a,OT+HG
44,(A),(A),(Aa),(Aa),(A.a),(Aa).a,OT+HG
45,(Aa),(Aa),(Aa),(Aa),(A.a),(Aa).a,OT+HG
46,A),(aa),(Aa),(aa),(a).A,(aa).A,HG
