In	Out	N	Head-H	*Nonhead-H	Nonfinality	FtBin	SWP	WSP	Max-H	Max-m	Dep-H	Dep-m	NoFlop-H
a	(a)	0	1	0	1	1	1	0	0	0	0	0	0
a	(A)	0	0	0	1	1	1	0	0	0	1	0	0
a	(aa)	100	1	0	0	0	0	0	0	0	0	1	0
a	(Aa)	0	0	0	0	0	0	0	0	0	1	1	0
A	(A)	100	0	0	1	1	1	0	0	0	0	0	0
A	(a)	0	1	0	1	1	1	0	1	0	0	0	0
A	(Aa)	0	0	0	0	0	0	0	0	0	0	1	0
A	(aa)	0	1	0	0	0	0	0	1	0	0	1	0
aa	(aa)	100	1	0	0	0	0	0	0	0	0	0	0
aa	(Aa)	0	0	0	0	0	0	0	0	0	1	0	0
a.A	a.(A)	0	0	0	1	1	1	0	0	0	0	0	0
a.A	(a.A)	0	1	1	0	0	1	0	0	0	0	0	0
a.A	(a).A	0	1	0	0	1	1	0	0	0	0	0	0
a.A	(A.a)	0	0	0	0	0	1	0	0	0	0	0	1
a.A	(aa).A	100	1	0	0	0	0	0	0	0	0	1	0
aa.A	aa.(A)	0	0	0	1	1	1	1	0	0	0	0	0
aa.A	(aa).A	100	1	0	0	0	0	0	0	0	0	0	0
aa.A	(Aa).a	0	0	0	0	0	0	0	0	0	0	0	1
a.A.a	a.(A.a)	100	0	0	0	0	1	0	0	0	0	0	0
a.A.a	a.(Aa).a	0	0	0	0	0	0	0	0	0	0	1	0
aa.A.a	aa.(A.a)	100	0	0	0	0	1	1	0	0	0	0	0
aa.A.a	(aa).A.a	0	1	0	0	0	0	0	0	0	0	0	0
aa.A.a	(Aa).a.a	0	0	0	0	0	0	0	0	0	0	0	1
aa.A.a	aa.(Aa).a	0	0	0	0	0	0	1	0	0	0	1	0
aa.A.a	a.(A.a)	0	0	0	0	0	1	0	0	1	0	0	0
A.aa.a	(A).aa.a	100	0	0	0	1	1	1	0	0	0	0	0
A.aa.a	A.(aa).a	0	1	0	0	0	0	0	0	0	0	0	0
A.aa.a	a.(Aa).a	0	0	0	0	0	0	0	0	0	0	0	1
A.aa.a	(Aa).aa.a	0	0	0	0	0	0	0	0	0	0	1	0
A.aa.a	(A.a).a	0	0	0	0	0	1	0	0	1	0	0	0
