grammar,A,a,Aa,aa,a.A,aa.A,solution
1,(A),(a),(Aa),(aa),(a.A),(aa).A,OT+HG
2,(A),(A),(Aa),(aa),(a.A),(aa).A,OT+HG
3,(Aa),(aa),(Aa),(aa),(a.A),(aa).A,OT+HG
4,(A),(a),(aa),(aa),(a.A),(aa).A,OT+HG
5,(A),(A),(aa),(aa),(a.A),(aa).A,OT+HG
6,(aa),(aa),(aa),(aa),(a.A),(aa).A,OT+HG
7,(A),(A),(Aa),(Aa),(a.A),(aa).A,OT+HG
8,(Aa),(Aa),(Aa),(Aa),(a.A),(aa).A,OT+HG
9,(A),(a),(Aa),(aa),(a).A,(aa).A,OT+HG
10,(A),(A),(Aa),(aa),(a).A,(aa).A,OT+HG
11,(A),(aa),(Aa),(aa),(a).A,(aa).A,OT+HG
12,(Aa),(aa),(Aa),(aa),(a).A,(aa).A,OT+HG
13,(A),(a),(aa),(aa),(a).A,(aa).A,OT+HG
14,(A),(A),(aa),(aa),(a).A,(aa).A,OT+HG
15,(A),(aa),(aa),(aa),(a).A,(aa).A,OT+HG
16,(aa),(aa),(aa),(aa),(a).A,(aa).A,OT+HG
17,(A),(a),(A),(aa),(a).A,(aa).A,OT+HG
18,(A),(A),(A),(aa),(a).A,(aa).A,OT+HG
19,(A),(aa),(A),(aa),(a).A,(aa).A,OT+HG
20,(A),(A),(Aa),(Aa),(a).A,(aa).A,OT+HG
21,(Aa),(Aa),(Aa),(Aa),(a).A,(aa).A,OT+HG
22,(A),(a),(Aa),(aa),a.(A),(aa).A,OT+HG
23,(A),(A),(Aa),(aa),a.(A),(aa).A,OT+HG
24,(A),(aa),(Aa),(aa),a.(A),(aa).A,OT+HG
25,(Aa),(aa),(Aa),(aa),a.(A),(aa).A,OT+HG
26,(A),(a),(aa),(aa),a.(A),(aa).A,OT+HG
27,(A),(A),(aa),(aa),a.(A),(aa).A,OT+HG
28,(A),(aa),(aa),(aa),a.(A),(aa).A,OT+HG
29,(A),(a),(A),(aa),a.(A),(aa).A,OT+HG
30,(A),(A),(A),(aa),a.(A),(aa).A,OT+HG
31,(A),(aa),(A),(aa),a.(A),(aa).A,OT+HG
32,(A),(A),(Aa),(Aa),a.(A),(aa).A,OT+HG
33,(Aa),(Aa),(Aa),(Aa),a.(A),(aa).A,OT+HG
34,(A),(A),(A),(A),a.(A),(aa).A,OT+HG
35,(A),(aa),(Aa),(aa),(aa).A,(aa).A,OT+HG
36,(Aa),(aa),(Aa),(aa),(aa).A,(aa).A,OT+HG
37,(A),(aa),(aa),(aa),(aa).A,(aa).A,OT+HG
38,(aa),(aa),(aa),(aa),(aa).A,(aa).A,OT+HG
39,(A),(aa),(A),(aa),(aa).A,(aa).A,OT+HG
40,(Aa),(Aa),(Aa),(Aa),(aa).A,(aa).A,OT+HG
41,(A),(a),(Aa),(aa),(A.a),(aa).A,OT+HG
42,(A),(A),(Aa),(aa),(A.a),(aa).A,OT+HG
43,(Aa),(aa),(Aa),(aa),(A.a),(aa).A,OT+HG
44,(A),(a),(aa),(aa),(A.a),(aa).A,OT+HG
45,(A),(A),(aa),(aa),(A.a),(aa).A,OT+HG
46,(aa),(aa),(aa),(aa),(A.a),(aa).A,OT+HG
